PackageTypeNumber,LoanPricerId,XcbFlag,OriginalTerm,AmortizationTermRange,PaymentType,InsurerList,ConformingLoanFlag,GovernmentOrRualHousingFlag,OriginalLtvRange,OriginalBalanceRange,StreamlineVALowFicoFlag,RelocationFlag,PropertyTypeList,OriginalFICORange,LoanPurposeTypeList,VerifiedFicoScoreFlag,InitialPeriodCap,SubsequentPeriodCap,LifeCap,MonthsToInitialResetRange,3530,3536,3539,849,668,669,402,669
10,fhlmc15,0,180,[0-180],Fixed,Conv,1,,,,,,,,,,,,,,fhlmc,fhlmc15,fhlmc15,fhlmc15,fhlmc_arm_7,fhlmc_arm_10,fnma_arm_7,fnma_arm_10
11,fhlmc20,0,240,(180-240],Fixed,Conv,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
12,fhlmc,0,360,(240-360],Fixed,Conv,1,,,,,,,,,,,,,,360,180,180,180,360,360,360,360
21,fnma15,0,180,[0-180],Fixed,Conv,1,,,,,,,,,,,,,,(180-360],[0-180],[0-180],[0-180],,,,
22,fnma20,0,240,(180-240],Fixed,Conv,1,,,,,,,,,,,,,,Fixed,Fixed,Fixed,Fixed,ARM,ARM,ARM,ARM
23,fnma,0,360,(240-360],Fixed,Conv,1,,,,,,,,,,,,,,Conv,Conv,Conv,Conv,Conv,Conv,Conv,Conv
24,gnma15,0,180,[0-180],Fixed,,1,1,,,,,,,,,,,,,1,1,1,1,,,,
25,gnma,0,360,(180-360],Fixed,,1,1,,,,,,,,,,,,,,,,,,,,
2583,fhlmc,0,360,(180-360],Fixed,Conv,1,,[95-105.01),,,,,,,,,,,,[95-105.01),,,,,,,
2584,fhlmc,0,360,(180-360],Fixed,Conv,1,,,[0-125000],,,,,,,,,,,,[0-125000],[0-175000],[0-150000],,,,
2585,fhlmc,0,360,(180-360],Fixed,Conv,1,,,[0-175000],,,,,,,,,,,,,,,,,,
3434,gnma15,0,180,[0-180],Fixed,,,1,,,0,,,,,,,,,,,,,,,,,
3438,gnma,0,360,(180-360],Fixed,,,1,,,0,,,,,,,,,,,,,,,,,
3474,fhlmc,0,360,(240-360],Fixed,Conv,1,,,,,1,"10,12,20,22,25,35,60",,,,,,,,,,,,,,,
3485,fhlmc,0,360,(240-360],Fixed,Conv,1,,,,,,,[300-700),,,,,,,R,,,,,,,
3491,fnma15,0,180,[0-180],Fixed,Conv,1,,[80-105.01),,,,,,R,,,,,,,,,,,,,
3492,fhlmc15,0,180,[0-180],Fixed,Conv,1,,[90-105.01),,,,,,R,,,,,,,,,,5,5,5,5
3498,fhlmc,0,360,(180-360],Fixed,Conv,1,,,,,,,"[300,700)",R,1,,,,,,,,,2,2,2,2
3528,fhlmc,0,360,(180-360],Fixed,Conv,1,,[80-105.01),,,,,"[300,700)",R,,,,,,,,,,5,5,5,5
3529,fhlmc,0,360,(180-360],Fixed,Conv,1,,[90-105.01),,,,,,R,,,,,,,,,,[61-84],[85-120],[61-84],[85-120]
3530,fhlmc,0,360,(180-360],Fixed,Conv,1,,[95-105.01),,,,,,R,,,,,,,,,,,,,
3536,fhlmc15,0,180,[0-180],Fixed,Conv,1,,,[0-125000],,,,,,,,,,,,,,,,,,
3539,fhlmc15,0,180,[0-180],Fixed,Conv,1,,,[0-175000],,,,,,,,,,,,,,,,,,
849,fhlmc15,0,180,[0-180],Fixed,Conv,1,,,[0-150000],,,,,,,,,,,,,,,,,,
668,fhlmc_arm_7,0,360,,ARM,Conv,,,,,,,,,,,5,2,5,[61-84],,,,,,,,
669,fhlmc_arm_10,0,360,,ARM,Conv,,,,,,,,,,,5,2,5,[85-120],,,,,,,,
402,fnma_arm_7,0,360,,ARM,Conv,,,,,,,,,,,5,2,5,[61-84],,,,,,,,
669,fnma_arm_10,0,360,,ARM,Conv,,,,,,,,,,,5,2,5,[85-120],,,,,,,,